AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,ELIGIBILITY,DESCRIPTION_SERVICE,POSTAL_CODE
Centre For Addiction And Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 3rd Fl, Toronto, ON     M6J 1H4","Niagara, 82",Access CAMH (Intake Assessment) 416-535-8501 ext 2,Individuals age 18 and older who primarily use cocaine,"Outpatient treatment and aftercare * preparatory, day treatment and continuing care support includes goal planning, relapse prevention and psycho-education group sessions * community integration support includes weekly group counselling for one year post treatment * holistic, harm reduction approach<br><br> 

Provides treatment services to <b>Toronto Drug Treatment Court (DTC)</b> at 100 Stokes St, 3rd Fl -- see separate entry",M6J 1H4
Centre For Addiction And Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 3rd Fl, Toronto, ON     M6J 1H4","Niagara, 82",416-535-8501 ext 36071,"Persons requiring inpatient setting and medical support to manage withdrawal symptoms * focus on patients with severe withdrawal symptoms, including seizures and hallucinations",Inpatient alcohol and substance withdrawal management,M6J 1H4
Centre For Addiction And Mental Health,"Intergenerational Wellness Centre, 80 Workman Way, Toronto, ON     M6J 1H4","Niagara, 82",416-535-8501 ext 4366,"Most programs -- children and youth up to 17 years, with emotional, behavioural, psychological or psychiatric problems, and their families * specific eligibility for some programs -- call for details","Assessments, treatment and referrals * treatment recommendations and consultation, including services for those involved with Youth Criminal Justice Act * outreach, prevention and education<br>
<br>
<b>Better Behaviours Service (BBS)</b> -- assessment and treatment for children with behaviour problems, including aggression, social skills difficulties, diminished academic performance and non-compliance * must not have developmental delay, serious medical illness or psychotic disorder * parent programs * individual, group and day treatment programs -- call for eligibility and referral details<br>
<br>
<b>Mood and Anxiety Disorders Service</b> -- assessment, treatment recommendations and short-term treatment * referral required<br>
<br> 
<b>Psychotic Disorders</b> -- assessment and consultation for children and youth with a referral diagnosis of a psychotic disorder or symptoms of psychosis * referral required<br>
<br>
<b>Substance Abuse Program for African Canadian and Caribbean Youth (SAPACCY)</b> -- early intervention and prevention services for Black youth, including individual and group counselling and family support * no referral required<br>
<br>
<b>Toronto Arson Prevention Program for Children (TAPP-C), www.tapp-c.com</b> -- assessment and intervention for children and youth to reduce intentional fire setting or match/lighter play * programs for parents/caregivers * referral required<br>
<br>
<b>Youth Addiction and Concurrent Disorders Service</b> -- assessment and treatment for youth and young adults with substance use challenges, with or without concurrent mental health concerns, and their families * harm reduction and individualized approach * individual and group counselling * case management",M6J 1H4
Toronto. Hostel Services,"1651 Sheppard Ave W, Toronto, ON     M3M 2X4","Glenfield-Jane Heights, 25",Shift Leader 416-392-5452 ; Intake 416-392-5447,Men 18 years and older with a history of using the hostel system,"Substance abuse recovery program, up to 6 months stay * case management * out patient component * community follow up * aftercare * recreation programs * capacity 30",M3M 2X4
St Joseph's Health Centre,"30 The Queensway, Toronto, ON     M6R 1B5","High Park-Swansea, 87",NA,Men and women 16 years and older,"Non-medical day, community and residential alcohol and drug withdrawal management * capacity 26 * 10 crisis beds (3 female, 7 male), 16 program beds (4 female, 12 male) * no smoking * continuing care * family program * assessment and referral * counselling * life skills coaching * smoking cessation program * acupuncture",M6R 1B5
Jacs Toronto,"858 Sheppard Ave W, Toronto, ON     M3H 2T5","Bathurst Manor, 34",Office 416-638-0350,"Individuals with addictions and their families, friends and associates in the Jewish community","Individual, couple and family counselling for substance abuse issues * resource centre -- addiction education, awareness * confidential telephone information * counselling for teens in crisis * mutual help -- daily 12 step meetings * treatment referrals * recovery retreats * information meetings Thursday 7:30 pm * outreach to schools, camps, youth groups",M3H 2T5
High Park Chiropractic And Integrated Health,"2100 Bloor St W, Ste 10, Toronto, ON     M6S 1M7",NA,416-762-7591,No restrictions,"Community clinic which offers&nbsp;acupuncture, custom foot orthotics, detoxification, family chiropractic, homeopathy, registered massage therapy, naturopathic medicine, nutrition, sports injury management and psychological assessment and psychotherapy",M6S 5A5
"Yellow Brick Road Holistic Center, Your Path To Total Health","258 Dupont St, Toronto, ON     M5R 1V7",NA,416-926-1101,No restrictions,Holistic health services * specializes in Colonic hydrotherapy and detoxification,M5R 1V7
Food Addicts In Recovery Anonymous - Toronto - Spadina Ave,"750 Spadina Ave, Room 301, Toronto, ON     M5S 2J2",NA,416-570-0796<BR>416-857-7559,People 16 years and older * person younger than 16 years must be accompanied by an adult,12 step recovery group for&nbsp;people with addictive eating,M5S 2J2
Ontario Addiction Treatment Centre - Bloor West Clinic,"799 Bloor St W, Toronto, ON     M6G 1L8",NA,647-748-6282,No restrictions,Outpatient drug addiction treatment centre * methadone and suboxone treatment&nbsp;program * addiction counseling * medical follow-up * post treatment support,M6G 1L8
Ontario Addiction Treatment Centre - Danforth,"1154 Danforth Ave, Toronto, ON     M4J 1M3",NA,647-748-8770,No restrictions,"<a name=""_MailEndCompose"">Outpatient
drug addiction treatment centre * methadone and suboxone treatment program *
addiction counseling * medical follow-up * post treatment support</a><br>",M4J 1M3
